areaFIPS,areaname,areaname2,allchildren3to5,atleast1immigparent,allnativebornparents,lowincome,notlowincome,notenrolled,enrolled,atleast1immigparent_pct,allnativebornparents_pct,lowincome_pct,notlowincome_pct,notenrolled_pct,enrolled_pct
10100,Aberdeen, SD,2000,0,1000,1000,1000,1000,1000,0,0.97476995,0.377918899,0.622081101,0.479986668,0.520013332
10140,Aberdeen, WA,2000,0,2000,1000,1000,0,1000,0,0.847639501,0.568420947,0.431579053,0,0.567173541
10180,Abilene, TX,8000,0,6000,4000,3000,3000,4000,0,0.871308625,0.538094521,0.46190545,0.448698878,0.551301122
10220,Ada, OK,2000,0,2000,1000,1000,1000,1000,0,0.931546152,0.574203491,0.425796479,0.358195186,0.641804814
10300,Adrian, MI,3000,0,3000,2000,1000,2000,2000,0,0.978841186,0.569718599,0.430281401,0.493013173,0.506986856
10420,Akron, OH,25000,0,22000,12000,13000,10000,15000,0,0.91995573,0.478102267,0.521897733,0.398928642,0.601071358
10460,Alamogordo, NM,3000,0,2000,2000,1000,1000,2000,0,0.830982149,0.597905159,0.402094841,0.413120627,0.586879373
10500,Albany, GA,7000,0,7000,5000,2000,2000,5000,0,0.936488628,0.656571031,0.343428969,0.279819667,0.720180333
10540,Albany, OR,4000,0,3000,2000,2000,2000,2000,0,0.864351034,0.512322903,0.487677068,0.512949049,0.487050951
10580,Albany-Schenectady-Troy, NY,29000,4000,24000,10000,19000,10000,19000,0.145978034,0.854021966,0.337556005,0.662443995,0.345122486,0.654877543
10660,Albert Lea, MN,1000,0,1000,500,1000,500,1000,0,0.822245121,0.418517768,0.581482232,0.406403929,0.593596101
10700,Albertville, AL,4000,0,3000,2000,1000,2000,2000,0,0.800967097,0.631195843,0.368804157,0.503095329,0.496904671
10740,Albuquerque, NM,35000,7000,28000,19000,16000,16000,19000,0.199869215,0.800130785,0.532480001,0.467519999,0.45130685,0.54869318
10780,Alexandria, LA,6000,0,6000,3000,3000,2000,4000,0,0.947606266,0.496422946,0.503577054,0.367326707,0.632673264
10820,Alexandria, MN,1000,0,1000,500,1000,500,1000,0,0.953716993,0.394742846,0.605257154,0.423190475,0.576809525
10900,Allentown-Bethlehem-Easton, PA-NJ,27000,4000,23000,10000,17000,12000,16000,0.139893413,0.860106587,0.374664903,0.625335097,0.433671683,0.566328287
10940,Alma, MI,1000,0,1000,1000,1000,1000,1000,0,0.978728235,0.538034678,0.461965322,0.498454064,0.501545906
10980,Alpena, MI,1000,0,1000,500,500,500,500,0,0.98506248,0.505260229,0.494739771,0.449236542,0.550763488
11020,Altoona, PA,4000,0,4000,2000,2000,2000,3000,0,0.989134192,0.507790208,0.492209762,0.429362565,0.570637465
11100,Amarillo, TX,13000,3000,11000,7000,6000,6000,8000,0.195010126,0.804989874,0.512479782,0.487520188,0.440740466,0.559259534
11140,Americus, GA,1000,0,1000,1000,500,500,1000,0,0.963831604,0.677522421,0.322477549,0.335202992,0.664797008
11220,Amsterdam, NY,2000,0,2000,1000,1000,1000,1000,0,0.970931649,0.618005514,0.381994516,0.440902412,0.559097588
11260,Anchorage, AK,17000,0,15000,6000,11000,9000,8000,0,0.865207553,0.337112844,0.662887156,0.51670444,0.48329556
11380,Andrews, TX,1000,0,500,500,500,500,500,0,0.652954221,0.454944193,0.545055807,0.545152485,0.454847515
11420,Angola, IN,2000,0,1000,1000,1000,1000,1000,0,0.947360992,0.573510647,0.426489323,0.570830405,0.429169595
11460,Ann Arbor, MI,11000,2000,8000,4000,7000,4000,7000,0.225378215,0.774621785,0.327887952,0.672112048,0.344875813,0.655124187
11500,Anniston-Oxford-Jacksonville, AL,4000,0,4000,3000,0,2000,3000,0,0.944100857,0.625178814,0,0.400371581,0.599628448
11540,Appleton, WI,9000,0,8000,3000,6000,4000,5000,0,0.893375099,0.298336506,0.701663494,0.442931354,0.557068646
11580,Arcadia, FL,1000,0,1000,1000,0,1000,1000,0,0.643227756,0.719673157,0,0.550503612,0.449496388
11620,Ardmore, OK,2000,0,2000,1000,1000,1000,1000,0,0.911136448,0.542137265,0.457862735,0.416640401,0.583359599
11660,Arkadelphia, AR,1000,0,1000,500,500,0,1000,0,0.943244219,0.57497263,0.42502737,0,0.713589609
11680,Arkansas City-Winfield, KS,1000,0,1000,1000,1000,1000,1000,0,0.934690356,0.514014006,0.485985994,0.438187927,0.561812043
11700,Asheville, NC,15000,0,13000,8000,7000,7000,8000,0,0.857016265,0.52953881,0.47046119,0.452221721,0.547778249
