areaFIPS,areaname,Category,Subcategory,allchildren3to5,atleast1immigparent,allnativebornparents,lowincome,notlowincome,notenrolled,enrolled
1,Alabama,Parental employment,All parents are working full time,0.31951651,0.2083866,0.329872966,0.209457606,0.45080322,0.259936899,0.369090945
1,Alabama,Parental employment,All parents are working; at least one is not working full time,0.317622274,0.246228591,0.326016247,0.338149607,0.290136725,0.305265427,0.327904075
1,Alabama,Parental employment,At least one parent is not working,0.362861216,0.545384824,0.344110817,0.452392787,0.259060055,0.434797674,0.30300498
1,Alabama,Parental employment,All parents are working,0,0,0,0,0,0,0
2,Alaska,Parental employment,All parents are working full time,0.276875883,0.226931944,0.28091383,0.097685933,0.377559751,0.237775028,0.312186778
2,Alaska,Parental employment,All parents are working; at least one is not working full time,0.404300153,0.476931959,0.396299809,0.461446494,0.373333335,0.412939876,0.396497846
2,Alaska,Parental employment,At least one parent is not working,0.318823963,0.296136111,0.322786361,0.440867573,0.249106914,0.349285096,0.291315377
2,Alaska,Parental employment,All parents are working,0,0,0,0,0,0,0
4,Arizona,Parental employment,All parents are working full time,0.287103057,0.20925343,0.31457746,0.163559884,0.429587126,0.257631958,0.316033632
4,Arizona,Parental employment,All parents are working; at least one is not working full time,0.300216556,0.269481808,0.314366937,0.315902591,0.283096194,0.289890528,0.31035322
4,Arizona,Parental employment,At least one parent is not working,0.412680358,0.521264732,0.371055603,0.520537496,0.28731668,0.452477515,0.373613149
4,Arizona,Parental employment,All parents are working,0,0,0,0,0,0,0
5,Arkansas,Parental employment,All parents are working full time,0.328202367,0.231811225,0.340788156,0.203819558,0.494649261,0.290341884,0.354093194
5,Arkansas,Parental employment,All parents are working; at least one is not working full time,0.325009853,0.284757107,0.329384208,0.354631096,0.28492862,0.281965047,0.354445904
5,Arkansas,Parental employment,At least one parent is not working,0.346787781,0.483431637,0.329827636,0.441549331,0.220422104,0.427693069,0.291460901
5,Arkansas,Parental employment,All parents are working,0,0,0,0,0,0,0
6,California,Parental employment,All parents are working full time,0.268869877,0.235524297,0.297699302,0.14042592,0.383988976,0.238846734,0.287266165
6,California,Parental employment,All parents are working; at least one is not working full time,0.312838644,0.288220584,0.337917954,0.306200355,0.318148702,0.298380792,0.321697533
6,California,Parental employment,At least one parent is not working,0.41829145,0.476255119,0.364382744,0.553373754,0.297862321,0.462772489,0.391036302
6,California,Parental employment,All parents are working,0,0,0,0,0,0,0
8,Colorado,Parental employment,All parents are working full time,0.292575836,0.202594057,0.316994756,0.13572748,0.39871338,0.274112731,0.303553522
8,Colorado,Parental employment,All parents are working; at least one is not working full time,0.363540441,0.33438459,0.373478293,0.397998929,0.341620326,0.353376418,0.369583666
8,Colorado,Parental employment,At least one parent is not working,0.343883723,0.463021368,0.30952695,0.466273606,0.259666294,0.37251085,0.326862812
8,Colorado,Parental employment,All parents are working,0,0,0,0,0,0,0
